latitude,longitude,probability,risk_level
26.35,88.04999999999954,0.5653,HIGH
26.35,88.09999999999954,0.5797,HIGH
26.35,88.19999999999953,0.603,HIGH
26.450000000000003,88.14999999999954,0.5988,HIGH
26.500000000000004,85.04999999999971,0.7753,VERY HIGH
26.500000000000004,85.2499999999997,0.8019,VERY HIGH
26.500000000000004,85.2999999999997,0.7875,VERY HIGH
26.500000000000004,85.64999999999968,0.6323,HIGH
26.500000000000004,85.94999999999966,0.6487,HIGH
26.500000000000004,86.09999999999965,0.7082,VERY HIGH
26.500000000000004,86.14999999999965,0.5933,HIGH
26.500000000000004,86.24999999999964,0.5718,HIGH
26.500000000000004,86.64999999999962,0.3979,MEDIUM
26.500000000000004,86.69999999999962,0.3448,MEDIUM
26.500000000000004,86.74999999999962,0.3417,MEDIUM
26.500000000000004,87.0499999999996,0.7707,VERY HIGH
26.500000000000004,87.24999999999959,0.6412,HIGH
26.500000000000004,87.29999999999959,0.5507,HIGH
26.500000000000004,87.54999999999957,0.693,HIGH
26.500000000000004,87.94999999999955,0.719,VERY HIGH
26.500000000000004,87.99999999999955,0.6726,HIGH
26.500000000000004,88.04999999999954,0.6264,HIGH
26.500000000000004,88.19999999999953,0.5988,HIGH
26.550000000000004,84.59999999999974,0.7214,VERY HIGH
26.550000000000004,84.84999999999972,0.456,HIGH
26.550000000000004,84.89999999999972,0.6169,HIGH
26.550000000000004,85.3499999999997,0.7673,VERY HIGH
26.550000000000004,85.44999999999969,0.3994,MEDIUM
26.550000000000004,85.54999999999968,0.7262,VERY HIGH
26.550000000000004,85.74999999999967,0.7293,VERY HIGH
26.550000000000004,85.84999999999967,0.3693,MEDIUM
26.550000000000004,86.04999999999966,0.7357,VERY HIGH
26.550000000000004,86.09999999999965,0.629,HIGH
26.550000000000004,86.34999999999964,0.5825,HIGH
26.550000000000004,86.49999999999963,0.6601,HIGH
26.550000000000004,87.39999999999958,0.5874,HIGH
26.550000000000004,87.54999999999957,0.5747,HIGH
26.550000000000004,87.59999999999957,0.5507,HIGH
26.550000000000004,87.69999999999956,0.5787,HIGH
26.550000000000004,87.99999999999955,0.5973,HIGH
26.550000000000004,88.04999999999954,0.3901,MEDIUM
26.550000000000004,88.19999999999953,0.5868,HIGH
26.600000000000005,84.44999999999975,0.3738,MEDIUM
26.600000000000005,84.74999999999973,0.7293,VERY HIGH
26.600000000000005,84.89999999999972,0.7373,VERY HIGH
26.600000000000005,84.94999999999972,0.6221,HIGH
26.600000000000005,85.1999999999997,0.7281,VERY HIGH
26.600000000000005,85.49999999999969,0.58,HIGH
26.600000000000005,85.64999999999968,0.75,VERY HIGH
26.600000000000005,85.74999999999967,0.75,VERY HIGH
26.600000000000005,85.79999999999967,0.5882,HIGH
26.600000000000005,85.89999999999966,0.6064,HIGH
26.600000000000005,86.09999999999965,0.7595,VERY HIGH
26.600000000000005,86.14999999999965,0.6212,HIGH
26.600000000000005,86.79999999999961,0.5827,HIGH
26.600000000000005,86.84999999999961,0.5747,HIGH
26.600000000000005,87.19999999999959,0.6583,HIGH
26.600000000000005,87.39999999999958,0.6128,HIGH
26.600000000000005,87.54999999999957,0.5787,HIGH
26.600000000000005,87.89999999999955,0.693,HIGH
26.600000000000005,88.04999999999954,0.6146,HIGH
26.600000000000005,88.19999999999953,0.7281,VERY HIGH
26.65000000000001,84.24999999999976,0.5781,HIGH
26.65000000000001,84.34999999999975,0.6033,HIGH
26.65000000000001,84.64999999999974,0.6811,HIGH
26.65000000000001,84.99999999999972,0.7201,VERY HIGH
26.65000000000001,85.2999999999997,0.6134,HIGH
26.65000000000001,85.3999999999997,0.6517,HIGH
26.65000000000001,85.54999999999968,0.7299,VERY HIGH
26.65000000000001,85.89999999999966,0.3448,MEDIUM
26.65000000000001,86.64999999999962,0.3882,MEDIUM
26.65000000000001,86.74999999999962,0.6148,HIGH
26.65000000000001,86.84999999999961,0.5373,HIGH
26.65000000000001,86.89999999999961,0.3959,MEDIUM
26.65000000000001,87.34999999999958,0.4023,HIGH
26.65000000000001,87.39999999999958,0.4003,HIGH
26.65000000000001,87.49999999999957,0.434,HIGH
26.65000000000001,87.59999999999957,0.5777,HIGH
26.65000000000001,87.79999999999956,0.6385,HIGH
26.65000000000001,88.04999999999954,0.605,HIGH
26.65000000000001,88.09999999999954,0.605,HIGH
26.700000000000006,84.14999999999976,0.5912,HIGH
26.700000000000006,84.29999999999976,0.5797,HIGH
26.700000000000006,84.34999999999975,0.4623,HIGH
26.700000000000006,84.39999999999975,0.451,HIGH
26.700000000000006,84.49999999999974,0.7381,VERY HIGH
26.700000000000006,84.54999999999974,0.7279,VERY HIGH
26.700000000000006,84.64999999999974,0.7357,VERY HIGH
26.700000000000006,84.89999999999972,0.4682,HIGH
26.700000000000006,84.99999999999972,0.4925,HIGH
26.700000000000006,85.1999999999997,0.7068,VERY HIGH
26.700000000000006,85.3999999999997,0.6134,HIGH
26.700000000000006,85.59999999999968,0.6352,HIGH
26.700000000000006,85.74999999999967,0.7129,VERY HIGH
26.700000000000006,85.79999999999967,0.7531,VERY HIGH
26.700000000000006,85.84999999999967,0.7363,VERY HIGH
26.700000000000006,85.99999999999966,0.6177,HIGH
26.700000000000006,86.04999999999966,0.7352,VERY HIGH
26.700000000000006,86.09999999999965,0.3905,MEDIUM
26.700000000000006,86.59999999999962,0.4254,HIGH
26.700000000000006,86.64999999999962,0.6074,HIGH
26.700000000000006,86.69999999999962,0.7373,VERY HIGH
26.700000000000006,86.74999999999962,0.7351,VERY HIGH
26.700000000000006,86.79999999999961,0.7091,VERY HIGH
26.700000000000006,86.84999999999961,0.655,HIGH
26.700000000000006,86.89999999999961,0.6035,HIGH
26.700000000000006,86.9999999999996,0.4925,HIGH
26.700000000000006,87.29999999999959,0.4078,HIGH
26.700000000000006,87.34999999999958,0.6252,HIGH
26.700000000000006,87.39999999999958,0.6035,HIGH
26.700000000000006,87.44999999999958,0.6772,HIGH
26.700000000000006,87.49999999999957,0.7161,VERY HIGH
26.700000000000006,87.54999999999957,0.6371,HIGH
26.700000000000006,87.59999999999957,0.6822,HIGH
